127.0.0.1 - - [19/Jan/2020:20:40:13 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [19/Jan/2020:20:40:14 +0530] "GET /REST2/WEB-INF/classes/co/edureka/EdurekaServices.java HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [19/Jan/2020:20:40:36 +0530] "GET /REST2/rest/edureka HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [19/Jan/2020:20:40:36 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [19/Jan/2020:20:40:45 +0530] "GET /REST2/rest/edureka/nri HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [19/Jan/2020:20:43:30 +0530] "GET /REST2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Jan/2020:20:43:31 +0530] "GET /REST2/ HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [19/Jan/2020:20:43:34 +0530] "GET /REST2/ HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [19/Jan/2020:20:43:47 +0530] "GET /REST2/ HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [19/Jan/2020:20:43:49 +0530] "GET /REST2/ HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [19/Jan/2020:20:43:53 +0530] "GET /REST2/ HTTP/1.1" 200 464
0:0:0:0:0:0:0:1 - - [19/Jan/2020:20:44:00 +0530] "GET /REST2/rest/edureka HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [19/Jan/2020:20:44:04 +0530] "GET /REST2/rest/edureka/nri HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [19/Jan/2020:20:45:32 +0530] "GET /REST2/rest/edureka/nri HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [19/Jan/2020:20:46:15 +0530] "GET /REST2/rest/edureka HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [19/Jan/2020:20:48:23 +0530] "GET /REST2/rest/edureka HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [19/Jan/2020:20:48:31 +0530] "GET /REST2/rest/edureka/Sunil/Java HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [19/Jan/2020:20:48:39 +0530] "GET /REST2/rest/edureka/Sunil/Android HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [19/Jan/2020:20:53:04 +0530] "GET /REST2/rest/edureka/Sunil/Android HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [19/Jan/2020:20:53:23 +0530] "GET /REST2/rest/edureka/enquiry?name=Sanjay&course=DataScience HTTP/1.1" 200 60
0:0:0:0:0:0:0:1 - - [19/Jan/2020:20:53:33 +0530] "GET /REST2/rest/edureka/enquiry?name=Sanjay&course=Data%20Science HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [19/Jan/2020:20:53:44 +0530] "GET /REST2/rest/edureka/enquiry?name=Sanjay&course=Python%20with%20Data%20Science HTTP/1.1" 200 73
0:0:0:0:0:0:0:1 - - [19/Jan/2020:21:00:36 +0530] "GET /REST2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Jan/2020:21:00:36 +0530] "GET /REST2/ HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [19/Jan/2020:21:00:38 +0530] "GET /REST2/rest/edureka HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [19/Jan/2020:21:00:40 +0530] "GET /REST2/rest/edureka/nri HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [19/Jan/2020:21:00:43 +0530] "GET /REST2/registration.html HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [19/Jan/2020:21:00:58 +0530] "GET /REST2/registration.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2020:21:01:02 +0530] "GET /REST2/registration.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2020:21:01:03 +0530] "GET /REST2/registration.html HTTP/1.1" 200 983
0:0:0:0:0:0:0:1 - - [19/Jan/2020:21:01:26 +0530] "POST /REST2/rest/edureka/registerCustomer HTTP/1.1" 200 114
